0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/perfect-scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/images/logo/logo_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/images/layout_img/user_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/analyser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/chart_custom_style1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/Chart.bundle.min.js HTTP/1.1" 304 -
